"","06520011B0023R","06520067C0018R","06520063C0043R","06520105C0017R","06520092C0017R","06520103C0017R","06520001B0023R","06520022C0017R","06520062C0017R","06520046C0018R","06520101B0017R","06520047C0017R","06520024B0014R","06520080B0023R","06520093C0017R","06520070C0018R","06520023C0018R","06520099B0017R","06520015C0016R","06520019C0023R"
"GeneID:4595",428,339,618,596,373,662,326,514,396,595,522,421,382,673,587,577,414,696,259,371
"GeneID:11019",719,511,494,426,253,206,356,615,773,530,222,451,602,280,215,385,386,326,183,383
"GeneID:407020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:116154",0,31,53,188,13,3,9,3,103,2168,2,1757,52,1393,5,469,799,7,10,1059
"GeneID:27336",4570,3251,2910,3494,1600,3160,4194,5331,1832,10522,2161,6247,1506,4191,2085,2239,3152,2787,1624,1996
"GeneID:51455",1699,1704,3288,2680,1815,2437,2160,1479,2625,4235,2428,4587,3414,3746,2356,3540,3039,2999,2125,3722
"GeneID:26225",1207,586,1136,980,991,1993,950,727,1229,822,804,1020,1055,1081,824,1041,744,911,1014,870
"GeneID:102723987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:5828",885,606,798,972,573,728,571,824,1979,741,821,562,1103,2991,890,909,776,1133,528,583
"GeneID:100533181",0,4,2,1,6,2,0,3,11,2,1,12,0,9,4,4,4,0,0,0
"GeneID:10940",1037,1479,527,1260,2221,779,1822,1290,1024,813,1245,1874,1743,1638,1244,704,726,1453,530,860
"GeneID:55290",254,366,175,237,125,212,197,316,246,190,153,151,409,106,209,231,302,205,123,131
"GeneID:2790",13,8,16,10,23,54,17,10,7,26,16,10,16,26,25,25,46,24,12,28
"GeneID:101928197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:277",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0
"GeneID:26818",3184,3813,2193,642,1788,856,500,2271,11590,3231,3018,1320,2116,3218,1175,1424,1429,4128,475,4781
"GeneID:574033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101929014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:7200",0,0,0,3,0,1,0,0,0,0,0,13,0,0,0,18,2,0,0,45
"GeneID:7386",417,174,329,213,329,376,427,251,280,473,242,223,225,288,188,182,242,169,147,252
"GeneID:100422893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:11189",16,92,3,1271,0,146,0,1,9,3131,0,7888,27,0,0,2210,3656,0,0,1851
"GeneID:100130331",0,1,5,1,3,0,0,3,6,1,10,7,4,0,1,5,4,1,0,5
"GeneID:102723828",0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"GeneID:54936",186,117,284,170,79,230,124,235,118,198,160,112,245,182,237,200,245,184,87,220
"GeneID:1088",1,0,0,0,0,0,0,3,13,39,7,0,0,0,9,7,0,68,0,0
"GeneID:283234",45,35,94,91,179,362,143,118,43,104,2262,84,139,24,2744,179,304,4466,114,482
"GeneID:100505495",1,5,9,5,37,5,5,4,0,1,13,6,1,2,12,10,14,1,7,3
"GeneID:345462",358,411,174,647,124,216,98,367,123,194,179,488,331,113,257,266,189,432,237,252
"GeneID:101927039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:79908",0,8,157,4,5,16,5,9,0,0,19,5,3,0,30,13,1,4,0,0
"GeneID:100130673",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GeneID:6277",275,376,659,136,417,2083,2475,464,882,360,1030,249,518,1300,1015,2657,3670,393,2608,1002
"GeneID:100846993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:284836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:151827",484,130,15,17,74,65,124,96,144,411,65,125,70,60,60,104,180,113,107,89
"GeneID:100507616",0,0,1,0,0,0,0,0,0,0,1,0,3,0,5,1,1,11,0,0
"GeneID:112812",126,94,137,190,98,192,111,120,80,199,50,114,194,83,121,167,200,87,130,182
"GeneID:51098",2305,3154,1694,1396,758,2079,1258,1369,1205,2525,570,1694,1103,1850,615,1300,1296,993,991,1215
"GeneID:84278",214,160,223,167,53,124,104,150,152,252,247,187,133,97,95,214,103,212,107,252
"GeneID:256643",2520,639,1218,1352,663,839,580,4196,676,1877,819,1748,449,774,761,1573,1231,1054,755,1604
"GeneID:101927809",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:3149",734,263,482,753,627,1154,993,249,388,415,640,1807,395,820,271,112,135,103,185,375
"GeneID:101929908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:80201",0,6,1788,11,571,288,18,23,7,4,26,12,3,29,24,110,2,44,33,17
"GeneID:1553",2,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:10966",349,633,75,341,143,42,123,1132,690,198,112,754,182,201,117,633,740,109,296,435
"GeneID:101928449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:80024",308,229,181,251,637,1103,814,358,495,68,1040,109,170,379,1290,596,407,1163,449,882
"GeneID:101928694",0,0,19,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,2
"GeneID:80305",396,384,411,565,488,588,261,466,658,406,1024,351,537,342,1233,391,329,1726,280,559
"GeneID:101927496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101927407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100996349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:283624",12,69,24,93,13,7,26,15,29,30,21,43,29,2,6,37,45,15,29,40
"GeneID:1057",0,2,0,1,0,2,0,0,0,1,2,2,1,21,0,0,0,0,0,0
"GeneID:100287205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:10919",2027,2447,2254,2113,1014,1660,1445,2126,1250,2339,1199,2827,1814,1303,1451,1427,1426,1542,980,1225
"GeneID:5686",2048,1102,1655,1255,1337,2972,1576,1673,920,1149,1919,1933,1118,3171,2473,1055,1338,1743,1000,1034
"GeneID:100302242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GeneID:3454",1809,1083,1773,1992,1646,2139,2347,1213,1326,1222,1729,1355,1107,1794,1683,2358,1721,2003,1518,2406
"GeneID:102725213",0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0
"GeneID:101930449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101927483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:114770",34,77,1,0,0,1,0,283,0,0,0,0,0,0,0,0,1,0,13,0
"GeneID:101928266",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101927348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:222894",0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0
"GeneID:100316904",9,3,16,5,4,22,11,14,16,20,60,42,10,3,71,43,12,94,16,18
"GeneID:55128",417,322,286,416,264,160,241,487,167,437,200,132,206,209,290,280,422,323,209,175
"GeneID:100874195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:8685",22,21,53,21,6,1108,73,47,125,4,421,6,13,6,1011,80,172,16,4,403
"GeneID:101927044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102466738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:8295",10154,13459,13030,15786,9880,13413,10220,12387,11400,30944,14510,22491,15970,7043,17351,14526,12134,30725,7077,14894
"GeneID:85456",2269,1965,3448,1793,4633,2768,8403,3723,4241,2943,2732,2847,2228,3444,2075,4667,4648,1267,4198,4050
"GeneID:102725169",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101927105",2,1,0,0,2,1,2,0,0,2,0,4,1,3,2,2,4,0,1,0
"GeneID:643355",0,1,0,2,0,0,0,3,0,1,1,0,14,0,3,2,1,3,0,2
"GeneID:56931",458,581,472,624,598,580,592,729,627,246,699,819,1290,709,671,301,367,721,338,484
"GeneID:8354",1660,795,1662,706,352,362,165,3140,393,1767,1180,1015,6366,2372,2307,194,157,1581,1096,116
"GeneID:9717",3,10,0,15,0,3,0,11,80,0,3,42,3,0,10,17,3,5,3,5
"GeneID:85016",440,73,180,254,52,55,290,79,456,112,85,8,10,114,29,58,65,27,48,49
"GeneID:26222",0,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"GeneID:102725324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102724216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:27333",2226,1166,4908,3566,6841,6642,11084,849,11718,313,2382,3232,2553,19240,1845,5422,3035,1048,7426,3985
"GeneID:26999",3237,3770,1472,10031,481,1230,115,1447,1141,7149,5193,9947,1569,545,9232,8008,10458,16267,553,12320
"GeneID:11212",639,1186,509,624,328,723,434,469,550,574,446,387,559,221,755,711,810,878,374,583
"GeneID:9024",6,269,8,536,6,67,7,8,1035,2029,3,1748,1016,2,4,1695,2245,6,23,1922
"GeneID:4359",10,6,9,10,82,16,9,8,0,16,14,28,4,9,7,3885,109,2,177,207
"GeneID:101927249",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"GeneID:2055",390,639,682,967,451,1665,457,591,458,524,1007,741,742,50,976,1491,897,1416,545,2859
"GeneID:8325",351,391,60,544,268,634,297,143,1197,146,120,130,599,70,100,543,238,48,1251,114
"GeneID:253982",45,218,19,59,508,23,157,225,1,342,63,1157,6,4,15,245,430,19,15,476
"GeneID:81544",69,75,52,132,551,214,233,127,75,193,454,169,100,529,309,486,201,152,316,516
"GeneID:390067",177,258,81,14,23,10,7,124,43,61,52,6,32,3,47,210,12,42,31,11
"GeneID:4261",160,621,2832,768,2740,11380,2716,746,1063,758,22285,1032,1942,256,28549,6533,4414,41764,2365,6247
"GeneID:7472",0,14,11,11,300,393,10,11,35,0,259,0,19,0,2,8,3,5,14,22
"GeneID:27299",11,8,67,277,101,321,9,319,0,375,2786,108,684,1,3952,97,783,2840,89,702
"GeneID:9383",13,6,6,104,2,14,0,6,8,96,33,17,50,107,29,6,1,4,0,18
"GeneID:113730",3,1,1,0,1,8,5,164,0,1,32,1,10,0,57,13,1,34,1,35
"GeneID:25984",56,1,3,12,0,2,1,41,1,15,6,0,0,10,24,14,5,4,7,2
"GeneID:134265",404,292,303,513,5421,712,843,514,320,120,754,386,633,217,604,1296,804,471,1161,689
"GeneID:4141",3076,5284,2686,6011,2984,5526,8603,3972,2500,6043,4513,3322,5913,3513,6150,5457,6422,7149,3016,9455
"GeneID:56651",0,0,0,0,0,39,0,1,0,1,1,0,5,0,0,2,0,0,0,0
"GeneID:345456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:932",0,0,0,0,0,0,0,0,0,1,26,0,0,0,12,5,0,0,0,4
"GeneID:3690",1161,446,957,536,2708,1792,2773,548,875,188,630,1125,636,1537,736,3122,949,223,3315,3131
"GeneID:22848",2839,2112,2225,3732,3888,4118,4352,2045,1814,6720,4847,7168,1720,3335,5026,5756,7179,6552,3323,6952
"GeneID:102723454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100616330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:7171",7731,3168,4282,2682,10442,10867,9421,4896,5873,1714,10577,4270,2135,6798,6590,5822,5305,5953,10477,6324
"GeneID:102723659",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:9473",32,67,541,115,243,1349,328,99,84,128,982,182,285,66,1644,473,206,1060,201,1700
"GeneID:391123",0,3,14,5,1,6,26,3,10,0,7,9,0,17,9,16,7,0,4,11
"GeneID:9811",471,598,536,730,859,1025,906,781,944,2718,644,3662,1878,1029,387,2349,3087,327,986,4019
"GeneID:147525",0,4,1,3,0,1,1,1,3,1,1,3,0,0,0,4,1,0,0,2
"GeneID:338817",6,9,2,3,0,0,0,5,0,1,0,1,0,0,1,2,2,0,1,1
"GeneID:219874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:3653",10,336,13,132,3,6,17,7,16,23,2,22,15,1,4,28,17,2,11,15
"GeneID:221120",581,591,332,639,348,558,832,625,377,709,299,434,385,497,389,572,705,408,322,509
"GeneID:102723329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100616419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:440311",45,37,37,17,38,17,6,57,31,34,32,25,69,18,42,34,22,74,18,32
"GeneID:220136",82,42,409,57,32,43,55,57,47,404,45,32,20,37,34,81,52,59,27,72
"GeneID:100528022",3,2,6,9,2,0,2,3,0,14,0,9,9,0,2,15,16,5,4,1
"GeneID:64426",1091,1253,1132,1057,502,763,871,994,693,1551,714,846,1043,708,810,986,1151,1207,664,1086
"GeneID:114044",126,79,77,61,15,33,66,39,106,141,23,141,156,11,12,31,35,25,6,88
"GeneID:574502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:378925",278,603,8,6,125,12,79,1671,60,5,34,16,4,79,19,45,21,25,67,41
"GeneID:54932",96,94,402,322,190,158,66,377,345,62,194,127,91,8,137,366,251,190,159,628
"GeneID:2176",1138,960,1246,1319,527,864,2089,1362,1135,1282,376,764,1190,2231,438,852,563,548,670,943
"GeneID:124997",397,660,524,524,815,1160,598,1029,1328,707,1307,539,587,309,1668,866,736,1901,702,804
"GeneID:57486",923,969,1857,2199,1004,1850,1555,531,2427,3166,802,4151,1792,897,950,1449,1660,1002,724,2356
"GeneID:2064",498,768,3518,470,1280,2162,1285,1309,3743,1270,571,269,1485,1054,528,3504,694,478,2168,661
"GeneID:340542",3,8,1,12,47,174,2,12,10,329,31,233,2,181,44,359,719,20,8,103
"GeneID:10150",956,4274,1927,2156,2304,1189,1565,3586,3853,1258,1405,3031,1331,3615,1828,4933,4986,1538,2192,3945
"GeneID:10634",112,107,81,100,155,146,205,395,261,16,145,31,171,113,121,156,170,83,234,255
"GeneID:25898",567,493,488,430,195,386,474,992,476,428,262,287,588,538,381,374,360,334,224,301
"GeneID:126014",9,13,8,14,25,344,16,27,8,5,167,6,13,16,64,25,5,9,19,117
"GeneID:390561",25,3,11,21,4,3,34,3,70,14,10,9,107,74,10,5,3,0,3,3
"GeneID:100616136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:8811",0,13,0,0,2,11,0,0,0,0,2,0,0,0,2,0,1,1,0,3
"GeneID:100144748",2,8,11,1,2,1,1,4,4,5,0,1,2,0,3,5,4,3,4,10
"GeneID:693135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:4250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:10903",184,195,218,350,295,468,392,157,904,30,134,125,76,410,149,732,784,44,795,235
"GeneID:56649",0,0,4,0,0,13,0,3,3,0,0,0,0,47,0,0,2,0,0,0
"GeneID:440561",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:958",614,1309,130,146,1278,653,741,526,111,83,3798,153,306,426,4348,506,499,3494,590,505
"GeneID:101927271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:79092",2,1,18,5,4,3,12,6,10,29,3,35,14,11,2,13,11,8,6,14
"GeneID:646670",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GeneID:653513",5,1,4,53,3,4,36,9,9,0,0,12,43,5,2,23,54,2,29,55
"GeneID:677837",276,1177,579,115,103,160,74,235,749,639,302,189,47,283,209,388,329,639,120,1041
"GeneID:55795",1297,1161,851,949,691,1531,991,1102,1701,1265,863,987,1875,1633,1026,1193,1023,1234,638,1146
"GeneID:93349",191,298,866,165,7116,1669,1012,453,644,1256,2831,287,313,471,3685,1032,1069,4968,872,856
"GeneID:440570",11,3,6,3,0,0,0,3,0,9,0,0,0,0,0,8,1,0,0,0
"GeneID:494332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:286177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:11156",280,756,782,364,1876,528,333,615,1045,262,1630,582,515,289,557,312,679,883,428,1175
"GeneID:57864",0,5,7,0,42,35,2,0,33,1,18,1,1,0,13,1,5,1,3,0
"GeneID:285766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:55776",519,365,191,279,179,152,560,287,318,107,224,445,95,612,247,272,214,327,153,156
"GeneID:10804",17,5,1,13,0,1,0,1,0,9,27,5,4,0,16,2,0,0,7,3
"GeneID:168451",1331,961,660,962,496,466,663,878,812,1833,459,1291,636,642,529,828,797,631,492,743
"GeneID:101930416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:9377",2123,1377,1110,1113,2130,1734,1458,1441,857,998,1062,1716,1614,1672,1265,971,1061,1004,732,1195
"GeneID:344758",0,1,4,0,0,2,0,0,11,0,0,3,0,0,0,3,0,0,5,114
"GeneID:102725183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101929401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:574494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:344967",64,19,40,128,8,16,17,76,45,40,36,26,15,24,32,31,60,18,11,81
"GeneID:84331",8,31,24,11,46,47,23,10,18,5,41,27,29,9,47,10,13,63,6,36
"GeneID:440386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:54504",8007,6121,1542,496,1234,12438,1954,3239,530,420,3835,653,741,5426,5047,1975,1784,1070,1109,3881
"GeneID:25893",0,17,1,25,10,27,44,15,123,30,17,20,56,55,31,303,31,45,63,51
"GeneID:7109",3075,2270,2918,2924,2595,5113,7344,4229,1981,4219,5542,3273,2570,3197,6593,3243,4169,10032,3102,6193
"GeneID:203100",10,10,5,55,25,847,47,8,18,7,73,19,37,0,203,46,18,348,6,469
"GeneID:100289678",839,1961,676,1132,484,372,1050,1314,1186,553,846,1049,682,343,904,1021,836,1434,737,936
"GeneID:102724405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:117608",1326,1566,938,1398,546,661,488,1104,558,871,607,1575,803,563,615,1035,583,1083,780,1071
"GeneID:101927457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"GeneID:27044",10161,12130,12207,6463,17148,11209,20173,9229,10604,12101,11445,14376,9714,11788,11758,7602,9364,12399,7251,9520
"GeneID:64396",2,3,8,1,1,5,2,0,0,4,0,1,2,0,0,1,0,1,0,12
"GeneID:119692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:282616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:26716",0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"GeneID:64236",74,74,89,48,182,320,153,75,161,72,310,53,37,38,376,262,234,519,336,101
"GeneID:344892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100996485",0,6,1,7,41,35,6,10,85,3,90,2,28,0,9,10,2,29,4,12
"GeneID:645434",0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
"GeneID:344905",0,4,13,175,2,205,0,4,4,2,1,7,117,0,0,6,0,0,4,1
"GeneID:102465140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:57037",579,394,727,567,331,1419,855,795,243,1047,250,675,268,836,376,630,502,356,334,456
"GeneID:10777",11039,62,0,50,43,1,5,571,0,10,1,542,847,352,13,172,1294,9,135,750
"GeneID:26276",1743,1846,1138,1419,1094,1532,1129,1737,1148,2514,1966,1581,1879,1001,1878,1712,2714,2011,895,1636
"GeneID:9435",52,48,430,520,151,86,31,71,102,139,238,49,56,18,438,45,88,584,83,147
"GeneID:204851",15464,4525,3680,5433,3278,5920,4153,8141,3992,6908,5290,5896,3225,10102,5963,6500,4370,9300,3708,9113
"GeneID:102723952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102465839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:5201",844,520,594,525,352,787,290,533,456,549,444,538,545,592,439,622,660,418,462,511
"GeneID:92521",610,914,2699,12354,1851,1113,6049,5568,215,1145,1878,1701,454,2418,1250,2063,1048,1725,1678,2579
"GeneID:258",249,0,0,0,0,2,0,0,0,0,0,0,0,66,0,0,4,0,4,4
"GeneID:5893",632,743,1352,623,422,353,504,881,810,1087,349,420,1061,625,524,737,544,581,477,740
"GeneID:3558",0,0,0,0,0,0,1,0,0,0,3,0,0,0,13,7,0,0,0,15
"GeneID:9880",400,434,500,531,311,598,463,387,434,661,335,603,801,289,544,525,383,590,264,527
"GeneID:64215",1474,493,816,1034,1544,1410,1588,1151,881,328,847,435,254,1722,1209,779,610,748,1101,670
"GeneID:2894",27,242,547,275,168,143,79,74,607,24,266,1078,101,100,143,620,440,38,434,960
"GeneID:389125",9,8,17,13,12,101,12,23,2,8,11,15,162,0,25,14,45,9,39,16
"GeneID:102724585",0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,5,0,0,4
"GeneID:102725138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100507054",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"GeneID:340990",0,0,137,6,0,32,0,56,26,0,3,27,120,22,0,1,0,0,1,2
"GeneID:102724534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100073347",0,2,0,1,0,0,0,0,0,2,0,2,2,0,0,0,3,0,0,1
"GeneID:387103",324,144,171,149,118,322,387,208,150,190,107,419,439,228,150,60,54,78,101,66
"GeneID:284424",0,0,0,177,0,0,0,1,0,246,0,17,16,0,4,85,142,0,0,197
"GeneID:693164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100288637",22,25,19,54,5,7,21,43,8,24,55,25,51,14,18,3,2,14,15,6
"GeneID:390",103,70,494,2887,692,437,280,157,1904,1852,312,370,460,521,280,1874,480,274,900,1656
"GeneID:102724735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101926971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100874158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"GeneID:56943",1499,1547,1308,1076,1157,1336,2723,992,1165,872,1010,1089,1244,3746,1002,685,1139,891,673,858
"GeneID:100131089",1,2,0,8,1,0,1,0,0,1,0,4,1,0,0,5,3,2,1,0
"GeneID:100500847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:56923",0,0,0,4,0,0,0,2,0,12,0,27,0,0,3,8,0,0,0,0
"GeneID:132946",10,4,14,24,10,4,3,1,79,17,1,32,6,24,0,6,41,4,7,61
"GeneID:57448",33384,30781,29102,28146,26466,34427,36615,23090,29371,28093,37487,35862,28834,31765,36016,31386,30310,68275,18914,44009
"GeneID:146956",313,167,243,282,98,289,464,376,203,507,165,955,1101,392,151,32,39,122,128,33
"GeneID:64284",11,3,28,1,31,980,19,14,23,6,5,1,6,1,2,5,1,0,5,8
"GeneID:100271722",0,1,7,0,0,0,0,1,0,1,0,0,3,0,0,1,0,0,1,0
"GeneID:27352",685,850,957,1110,855,742,996,2330,811,919,1032,1016,2081,381,1343,1168,1839,2171,664,1269
"GeneID:65217",0,17,337,258,3,2,0,28,111,379,4,7967,78,0,380,2087,1139,55,7,3282
"GeneID:3065",3691,2145,2643,1864,2861,2710,2122,2349,981,2454,4001,693,1869,2750,4795,1298,1328,5766,1161,1254
"GeneID:102724670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:124975",2,1,16,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0
